FID,名称,经度,纬度,X,Y,Brand,Ak,Pk
407,家和兴陕西肉丸胡辣汤,113.656238,34.805815,743085.2576,3856269.699,Others,5,4
408,刘记逍遥镇胡辣汤,113.609112,34.771955,738869.1713,3852398.79,Xiaoyaozhen,10,7
409,李幸福胡辣汤,113.611948,34.778515,739109.9336,3853133.553,Others,5,4
410,逍遥镇高兴家胡辣汤,113.611904,34.778318,739106.4735,3853111.585,Xiaoyaozhen,10,7
411,白华伟胡辣汤,113.625581,34.773017,740374.2278,3852555.966,Others,5,4
412,胡辣汤,113.624462,34.774306,740268.0173,3852696.337,Others,5,4
413,杜记炖肉胡辣汤,113.618916,34.776295,739754.4009,3852903.808,Others,5,4
414,逍遥镇胡辣汤,113.604044,34.781726,738376.944,3853471.095,Xiaoyaozhen,10,7
415,逍遥镇高国强胡辣汤,113.613199,34.780523,739218.6824,3853359.376,Xiaoyaozhen,10,7
416,老王家逍遥镇胡辣汤,113.609355,34.78511,738853.473,3853859.272,Xiaoyaozhen,10,7
417,逍遥镇朱家胡辣汤,113.606638,34.786356,738601.1141,3853991.085,Xiaoyaozhen,10,7
418,逍遥镇胡辣汤,113.650742,34.774975,742672.5774,3852833.812,Xiaoyaozhen,10,7
419,西华逍遥镇优质胡辣汤,113.630465,34.783783,740790.1622,3853762.461,Xiaoyaozhen,10,7
420,秀秀家牛肉胡辣汤,113.633843,34.783584,741100.0371,3853748.488,Others,5,4
421,逊母口炖肉胡辣汤,113.64051,34.782471,741713.7308,3853641.009,Others,5,4
422,逍遥镇荆记胡辣汤,113.629226,34.78568,740671.202,3853970.013,Xiaoyaozhen,10,7
423,牛排胡辣汤正商恒钻店,113.630497,34.785008,740789.5289,3853898.485,Others,5,4
424,逍遥镇牛排胡辣汤,113.630608,34.784891,740800.0325,3853885.767,Xiaoyaozhen,10,7
425,逍遥镇牛排胡辣汤,113.633892,34.794507,741072.7065,3854960.818,Xiaoyaozhen,10,7
426,正宗逍遥镇马记胡辣汤,113.646927,34.790386,742278.1253,3854534.88,Xiaoyaozhen,10,7
427,正宗逍遥镇老李家优质胡辣汤五香豆沫馆,113.647035,34.790444,742287.8434,3854541.578,Xiaoyaozhen,10,7
428,阿芳家胡辣汤,113.650377,34.793724,742584.2044,3854913.664,Others,5,4
429,小喜哥牛肉胡辣汤,113.604349,34.792661,738373.3781,3854685.354,Others,5,4
430,方中山胡辣汤,113.604964,34.791638,738432.6294,3854573.286,Fangzhongshan,9,10
431,牛肉胡辣汤,113.613584,34.792777,739218.5185,3854720.211,Others,5,4
432,嘻再来胡辣汤,113.60553,34.797693,738466.9984,3855246.598,Others,5,4
433,王永峰胡辣汤,113.604063,34.796289,738336.7451,3855087.3,Others,5,4
434,正宗逍遥镇牛肉胡辣汤,113.605748,34.797755,738486.7767,3855253.997,Xiaoyaozhen,10,7
435,逍遥镇高伟胡辣汤,113.625189,34.808846,740234.3067,3856531.25,Xiaoyaozhen,10,7
436,逍遥镇喜利来胡辣汤,113.626493,34.804883,740365.183,3856094.568,Xiaoyaozhen,10,7
437,逍遥镇胡辣汤,113.626519,34.806931,740361.6117,3856321.914,Xiaoyaozhen,10,7
438,王奎卤香大骨头优质胡辣汤,113.607167,34.802149,738604.0073,3855745.006,Others,5,4
439,许三周口优质牛肉胡辣汤,113.605233,34.805894,738416.1739,3856156.017,Others,5,4
440,正宗逍遥镇老容家炖肉胡辣汤,113.548414,34.76448,733331.9023,3851426.48,Xiaoyaozhen,10,7
441,宋记逍遥镇尚佳胡辣汤,113.548987,34.764053,733385.5811,3851380.426,Xiaoyaozhen,10,7
442,张铭胡辣汤,113.550795,34.766566,733544.076,3851663.51,Others,5,4
443,正宗北舞渡马记牛肉胡辣汤,113.523384,34.761479,731048.0079,3851035.558,Beiwudu,8,6
444,郭记老汤砂锅逍遥镇炖肉胡辣汤,113.525564,34.764145,731240.2195,3851336.434,Xiaoyaozhen,10,7
445,刘记逍遥镇优质胡辣汤,113.523509,34.765755,731047.5312,3851510.372,Xiaoyaozhen,10,7
446,穆艳华牛排胡辣汤,113.52313,34.766832,731009.8195,3851629.019,Others,5,4
447,大宋逍遥胡辣汤,113.523127,34.766753,731009.7651,3851620.245,Xiaoyaozhen,10,7
448,逍遥镇胡辣汤,113.589908,34.732276,737224.1245,3847949.834,Xiaoyaozhen,10,7
449,孔记逍遥镇胡辣汤,113.585885,34.740719,736831.4349,3848877.311,Xiaoyaozhen,10,7
450,逍遥胡辣汤,113.588564,34.736111,737090.0275,3848372.254,Xiaoyaozhen,10,7
451,方一坤野山菌胡辣汤,113.583546,34.744613,736606.0511,3849303.939,Others,5,4
452,老王家牛排胡辣汤,113.587568,34.747835,736965.272,3849670.985,Others,5,4
453,非胡辣汤,113.58766,34.747879,736973.5734,3849676.085,Others,5,4
454,方有道优质胡辣汤,113.581134,34.755284,736354.6736,3850482.482,Others,5,4
455,苏家包子胡辣汤,113.580239,34.755258,736272.773,3850477.49,Others,5,4
456,张记胡辣汤老店,113.579277,34.755425,736184.1856,3850493.76,Others,5,4
457,王常辉胡辣汤,113.596759,34.756025,737783.6746,3850601.605,Others,5,4
458,方友诚精品胡辣汤,113.593003,34.761126,737425.041,3851158.807,Others,5,4
459,小喜哥牛肉胡辣汤,113.598906,34.760571,737967.2662,3851111.191,Others,5,4
460,闫国响周口优质胡辣汤,113.60308,34.761653,738346.4361,3851241.169,Others,5,4
461,侯一明胡辣汤,113.571112,34.783473,735356.6308,3853587.234,Others,5,4
462,丁记胡辣汤,113.571349,34.782017,735382.4702,3853426.209,Others,5,4
463,魏国强胡辣汤,113.571311,34.781459,735380.5772,3853364.195,Others,5,4
464,新亚逍遥胡辣汤,113.579122,34.781493,736095.6773,3853386.318,Xiaoyaozhen,10,7
465,方一坤野山菌胡辣汤,113.579031,34.783722,736080.9889,3853633.47,Others,5,4
466,逍遥镇国生胡辣汤,113.576924,34.788394,735874.7583,3854146.995,Xiaoyaozhen,10,7
467,胡辣汤店,113.57114,34.785557,735353.2697,3853818.574,Others,5,4
468,逍遥镇牛肉胡辣汤,113.571263,34.786813,735360.9603,3853958.248,Xiaoyaozhen,10,7
469,逍遥镇老马家炖肉胡辣汤,113.571226,34.786171,735359.398,3853886.915,Xiaoyaozhen,10,7
